stage,seletor,modelo,status,error_message,n_features,n_trials,n_cv_folds,tempo_fit_sec,tempo_predict_sec,tempo_proba_sec,tempo_joblib_dump_sec,tempo_otimizacao_sec,tempo_total_sec,experiment_timestamp
feature_selection,Pearson,GaussianNB,success,,15.0,,,0.06549565200111829,0.002423033001832664,0.003070251004828606,,,0.07098893600777956,2026-05-03T23:48:29.586140
feature_selection,Pearson,DecisionTree,success,,15.0,,,0.07438448099856032,0.0020461020030779764,0.0013248440009192564,,,0.07775542700255755,2026-05-03T23:48:29.838321
feature_selection,Pearson,RandomForest,success,,15.0,,,1.199111788002483,0.06196882700169226,0.0576086299988674,,,1.3186892450030427,2026-05-03T23:48:31.333261
feature_selection,Pearson,GradientBoosting,success,,15.0,,,2.7119006590000936,0.027489273001265246,0.026888537999184337,,,2.766278470000543,2026-05-03T23:48:34.271339
feature_selection_selector_total,Pearson,,success,,15.0,,,,,,,,5.567999314996996,2026-05-03T23:48:34.271441
feature_selection,Fisher,LDA,success,,15.0,,,0.14566730699880281,0.0011444769988884218,0.0009289890003856272,,,0.14774077299807686,2026-05-03T23:48:34.599313
feature_selection,Fisher,QDA,success,,15.0,,,0.10495154099771753,0.004484572004002985,0.0037764580047223717,,,0.11321257100644289,2026-05-03T23:48:34.909515
feature_selection,Fisher,GaussianNB,success,,15.0,,,0.06329301300138468,0.002342439998756163,0.002833914004440885,,,0.06846936700458173,2026-05-03T23:48:35.127630
feature_selection,Fisher,DecisionTree,success,,15.0,,,0.07225311399815837,0.0020494510026765056,0.0012365220027277246,,,0.0755390870035626,2026-05-03T23:48:35.379899
feature_selection,Fisher,RandomForest,success,,15.0,,,1.1715344850017573,0.0576506560028065,0.055271483994147275,,,1.284456624998711,2026-05-03T23:48:36.840306
feature_selection,Fisher,GradientBoosting,success,,15.0,,,2.6977807649964234,0.02667238099820679,0.02663110600406071,,,2.751084251998691,2026-05-03T23:48:39.761703
feature_selection_selector_total,Fisher,,success,,15.0,,,,,,,,5.486312665998412,2026-05-03T23:48:39.761806
feature_selection,mRMR,LDA,success,,15.0,,,0.11940132000017911,0.0010786240018205717,0.0009362370037706569,,,0.12141618100577034,2026-05-03T23:48:40.066361
feature_selection,mRMR,QDA,success,,15.0,,,0.1093651389965089,0.007070343002851587,0.0034718890019576065,,,0.1199073710013181,2026-05-03T23:48:40.385239
feature_selection,mRMR,GaussianNB,success,,15.0,,,0.06395381900074426,0.0023792779975337908,0.003784802000154741,,,0.07011789899843279,2026-05-03T23:48:40.604730
feature_selection,mRMR,DecisionTree,success,,15.0,,,0.10080446000210941,0.0017528059979667887,0.0011639099975582212,,,0.10372117599763442,2026-05-03T23:48:40.884242
feature_selection,mRMR,RandomForest,success,,15.0,,,1.6619918619981036,0.06543829799920786,0.06678605500201229,,,1.7942162149993237,2026-05-03T23:48:42.854954
feature_selection,mRMR,GradientBoosting,success,,15.0,,,5.274692188999325,0.02558738399966387,0.02557111699570669,,,5.325850689994695,2026-05-03T23:48:48.350338
feature_selection_selector_total,mRMR,,success,,15.0,,,,,,,,8.585126745994785,2026-05-03T23:48:48.350443
feature_selection,LassoCV,LDA,success,,15.0,,,0.1168587549982476,0.001239210003404878,0.0009334169953945093,,,0.11903138199704699,2026-05-03T23:48:48.655565
feature_selection,LassoCV,QDA,success,,15.0,,,0.12130404599884059,0.007311612003832124,0.0063009779987623915,,,0.1349166360014351,2026-05-03T23:48:48.992562
feature_selection,LassoCV,GaussianNB,success,,15.0,,,0.06776477800303837,0.002242788003059104,0.0029309849996934645,,,0.07293855100579094,2026-05-03T23:48:49.214623
feature_selection,LassoCV,DecisionTree,success,,15.0,,,0.06944532000488834,0.0015997020018403418,0.001069091995304916,,,0.0721141140020336,2026-05-03T23:48:49.460698
feature_selection,LassoCV,RandomForest,success,,15.0,,,1.1885583920011413,0.05811336199985817,0.05598315899987938,,,1.3026549130008789,2026-05-03T23:48:50.936426
feature_selection,LassoCV,GradientBoosting,success,,15.0,,,2.5595920689956984,0.02625826099392725,0.026106751000043005,,,2.6119570809896686,2026-05-03T23:48:53.720392
feature_selection_selector_total,LassoCV,,success,,15.0,,,,,,,,5.3657648250009515,2026-05-03T23:48:53.720545
feature_selection,LinearSVC_L1,LDA,success,,15.0,,,0.13359767699876102,0.001134540005296003,0.0009623489968362264,,,0.13569456600089325,2026-05-03T23:48:54.037533
feature_selection,LinearSVC_L1,QDA,success,,15.0,,,0.10226380499807419,0.005359459995815996,0.0033638419990893453,,,0.11098710699297953,2026-05-03T23:48:54.347596
feature_selection,LinearSVC_L1,GaussianNB,success,,15.0,,,0.06380029200227,0.002222328999778256,0.00291219400241971,,,0.06893481500446796,2026-05-03T23:48:54.567162
feature_selection,LinearSVC_L1,DecisionTree,success,,15.0,,,0.10572499700356275,0.001779736005119048,0.0011423730029491708,,,0.10864710601163097,2026-05-03T23:48:54.854799
feature_selection,LinearSVC_L1,RandomForest,success,,15.0,,,1.668529700000363,0.06703223799559055,0.06607496600190643,,,1.80163690399786,2026-05-03T23:48:56.834826
feature_selection,LinearSVC_L1,GradientBoosting,success,,15.0,,,5.423371640004916,0.025346884001919534,0.026173682999797165,,,5.474892207006633,2026-05-03T23:49:02.485551
feature_selection_selector_total,LinearSVC_L1,,success,,15.0,,,,,,,,8.761271722003585,2026-05-03T23:49:02.485652
feature_selection,ExtraTrees,LDA,success,,15.0,,,0.14347758400253952,0.0011009500012733042,0.0012685620022239164,,,0.14584709600603674,2026-05-03T23:49:02.817378
feature_selection,ExtraTrees,QDA,success,,15.0,,,0.10420473400154151,0.004901842003164347,0.004666396001994144,,,0.1137729720067,2026-05-03T23:49:03.143349
feature_selection,ExtraTrees,GaussianNB,success,,15.0,,,0.06411917700461345,0.002134499001840595,0.0028429600060917437,,,0.06909663601254579,2026-05-03T23:49:03.360593
feature_selection,ExtraTrees,DecisionTree,success,,15.0,,,0.10366020299989032,0.0017003290049615316,0.0014073540005483665,,,0.10676788600540021,2026-05-03T23:49:03.641413
feature_selection,ExtraTrees,RandomForest,success,,15.0,,,1.7953554470004747,0.06694963500194717,0.06751380499918014,,,1.929818887001602,2026-05-03T23:49:05.750412
feature_selection,ExtraTrees,GradientBoosting,success,,15.0,,,5.509500102001766,0.02605745699838735,0.026502390996029135,,,5.562059949996183,2026-05-03T23:49:11.487387
feature_selection_selector_total,ExtraTrees,,success,,15.0,,,,,,,,8.997049172001425,2026-05-03T23:49:11.487489
ensemble_base_training,,LDA,success,,16.0,,,0.14475697600573767,0.004445972001121845,0.0009233869932359084,,,0.15012633500009542,2026-05-03T23:49:13.918669
ensemble_base_training,,QDA,success,,16.0,,,0.11798110800009454,0.00552566099941032,0.0072231509984703735,,,0.13072991999797523,2026-05-03T23:49:14.260807
ensemble_base_training,,GaussianNB,success,,16.0,,,0.07183034799527377,0.002705620994674973,0.0035543709964258596,,,0.0780903399863746,2026-05-03T23:49:14.500784
ensemble_base_training,,DecisionTree,success,,16.0,,,0.11005243699764833,0.0016997790007735603,0.0012542699987534434,,,0.11300648599717533,2026-05-03T23:49:14.791615
ensemble_base_training,,RandomForest,success,,16.0,,,1.8134400100025232,0.0671627929987153,0.06882028299878584,,,1.9494230860000243,2026-05-03T23:49:16.920732
ensemble_base_training,,GradientBoosting,success,,16.0,,,5.3103323969990015,0.025394110998604447,0.025687180997920223,,,5.361413688995526,2026-05-03T23:49:22.456531
ensemble_soft_voting,,,success,,,,,,,,,,0.17970598499960033,2026-05-03T23:49:22.642817
ensemble_averaging,,,success,,,,,,,,,,0.1582428589972551,2026-05-03T23:49:22.807942
optuna_global_optimization,,LDA,success,,,10.0,3.0,,,,,6.198739947998547,6.198739947998547,2026-05-03T23:49:29.355577
optuna_global_optimization,,QDA,success,,,10.0,3.0,,,,,6.851911712998117,6.851911712998117,2026-05-03T23:49:36.208960
optuna_global_optimization,,GaussianNB,success,,,10.0,3.0,,,,,3.9223822300045867,3.9223822300045867,2026-05-03T23:49:40.132167
optuna_global_optimization,,DecisionTree,success,,,12.0,3.0,,,,,5.162507288994675,5.162507288994675,2026-05-03T23:49:45.295614
optuna_global_optimization,,RandomForest,success,,,12.0,3.0,,,,,60.89639118600462,60.89639118600462,2026-05-03T23:50:46.193105
optuna_global_optimization,,GradientBoosting,success,,,12.0,3.0,,,,,140.40827375999652,140.40827375999652,2026-05-03T23:53:06.602279
optuna_global_training,,LDA,success,,16.0,,,0.1397753279961762,0.001263739999558311,0.0012661689979722723,,,0.14230523699370679,2026-05-03T23:53:06.965459
optuna_global_training,,QDA,success,,16.0,,,0.10572682900237851,0.003519644000334665,0.0033674200021778233,,,0.112613893004891,2026-05-03T23:53:07.280733
optuna_global_training,,GaussianNB,success,,16.0,,,0.06533042900264263,0.0025634810008341447,0.0032717889989726245,,,0.0711656990024494,2026-05-03T23:53:07.505637
optuna_global_training,,DecisionTree,success,,16.0,,,0.08558169000025373,0.001466523994167801,0.0010023360009654425,,,0.08805054999538697,2026-05-03T23:53:07.764196
optuna_global_training,,RandomForest,success,,16.0,,,3.4323705319984583,0.15124336200096877,0.15044579499954125,,,3.7340596889989683,2026-05-03T23:53:11.669192
optuna_global_training,,GradientBoosting,success,,16.0,,,11.061517866997747,0.05664731899742037,0.05661112900270382,,,11.174776314997871,2026-05-03T23:53:23.014940
optuna_by_selector_optimization,LowVariance,LDA,success,,12.0,10.0,3.0,,,,,5.271411845002149,5.271411845002149,2026-05-03T23:53:29.677996
optuna_by_selector_training,LowVariance,LDA,success,,12.0,,,0.10573403400485404,0.0010274379965267144,0.0008481909972033463,0.0012163450010120869,,0.10882600799959619,2026-05-03T23:53:29.963701
optuna_by_selector_optimization,LowVariance,QDA,success,,12.0,10.0,3.0,,,,,6.124171513001784,6.124171513001784,2026-05-03T23:53:36.088997
optuna_by_selector_training,LowVariance,QDA,success,,12.0,,,0.10799889099871507,0.0034219199951621704,0.003590193002310116,0.0012255110050318763,,0.11623651500121923,2026-05-03T23:53:36.404406
optuna_by_selector_optimization,LowVariance,GaussianNB,success,,12.0,10.0,3.0,,,,,3.866944326000521,3.866944326000521,2026-05-03T23:53:40.272460
optuna_by_selector_training,LowVariance,GaussianNB,success,,12.0,,,0.06409358300152235,0.0021329709998099133,0.0028629609951167367,0.0008276799999293871,,0.06991719499637838,2026-05-03T23:53:40.493887
optuna_by_selector_optimization,LowVariance,DecisionTree,success,,12.0,12.0,3.0,,,,,4.902141517995915,4.902141517995915,2026-05-03T23:53:45.397318
optuna_by_selector_training,LowVariance,DecisionTree,success,,12.0,,,0.06355297099798918,0.0015047400011098944,0.001023712997266557,0.0012634490049094893,,0.06734487300127512,2026-05-03T23:53:45.632467
optuna_by_selector_optimization,LowVariance,RandomForest,success,,12.0,12.0,3.0,,,,,59.870239301002584,59.870239301002584,2026-05-03T23:54:45.503764
optuna_by_selector_training,LowVariance,RandomForest,success,,12.0,,,3.6147972980033956,0.15581336800096324,0.15554153899574885,0.08551980699849082,,4.0116720119985985,2026-05-03T23:54:49.683970
optuna_by_selector_optimization,LowVariance,GradientBoosting,success,,12.0,12.0,3.0,,,,,138.0896897180064,138.0896897180064,2026-05-03T23:57:07.774876
optuna_by_selector_training,LowVariance,GradientBoosting,success,,12.0,,,11.219604255995364,0.056351578001340386,0.05616636599734193,0.009431648999452591,,11.341553848993499,2026-05-03T23:57:19.285274
optuna_by_selector_optimization,Pearson,LDA,success,,15.0,10.0,3.0,,,,,5.604091061002691,5.604091061002691,2026-05-03T23:57:24.894076
optuna_by_selector_training,Pearson,LDA,success,,15.0,,,0.1402099279948743,0.0010743060047389008,0.0008742189966142178,0.0009628730040276423,,0.14312132600025507,2026-05-03T23:57:25.212586
optuna_by_selector_optimization,Pearson,QDA,success,,15.0,10.0,3.0,,,,,6.23997937200329,6.23997937200329,2026-05-03T23:57:31.453587
optuna_by_selector_training,Pearson,QDA,success,,15.0,,,0.1082717750032316,0.006264854004257359,0.00511908399494132,0.0011787299954448827,,0.12083444299787516,2026-05-03T23:57:31.773699
optuna_by_selector_optimization,Pearson,GaussianNB,success,,15.0,10.0,3.0,,,,,3.7896773719985504,3.7896773719985504,2026-05-03T23:57:35.564371
optuna_by_selector_training,Pearson,GaussianNB,success,,15.0,,,0.06362683200131869,0.0021387300002970733,0.0029310659956536256,0.0008159909993992187,,0.06951261899666861,2026-05-03T23:57:35.781136
optuna_by_selector_optimization,Pearson,DecisionTree,success,,15.0,12.0,3.0,,,,,4.884772795005119,4.884772795005119,2026-05-03T23:57:40.666976
optuna_by_selector_training,Pearson,DecisionTree,success,,15.0,,,0.06484614800137933,0.001634696003748104,0.00130106999858981,0.001242110003659036,,0.06902402400737628,2026-05-03T23:57:40.906932
optuna_by_selector_optimization,Pearson,RandomForest,success,,15.0,12.0,3.0,,,,,39.83293773599871,39.83293773599871,2026-05-03T23:58:20.740904
optuna_by_selector_training,Pearson,RandomForest,success,,15.0,,,1.0261002179977368,0.04731057999742916,0.04744325800129445,0.037650737998774275,,1.1585047939952346,2026-05-03T23:58:22.073132
optuna_by_selector_optimization,Pearson,GradientBoosting,success,,15.0,12.0,3.0,,,,,78.89652600500267,78.89652600500267,2026-05-03T23:59:40.970878
optuna_by_selector_training,Pearson,GradientBoosting,success,,15.0,,,7.1984851579982205,0.04970714599767234,0.049631378999038134,0.009917887997289654,,7.307741570992221,2026-05-03T23:59:48.446514
optuna_by_selector_optimization,Fisher,LDA,success,,15.0,10.0,3.0,,,,,5.406494693997956,5.406494693997956,2026-05-03T23:59:53.858145
optuna_by_selector_training,Fisher,LDA,success,,15.0,,,0.1113114649997442,0.0011003679974237457,0.0008693389972904697,0.0009051380038727075,,0.11418630999833113,2026-05-03T23:59:54.145245
optuna_by_selector_optimization,Fisher,QDA,success,,15.0,10.0,3.0,,,,,6.016552278000745,6.016552278000745,2026-05-04T00:00:00.162761
optuna_by_selector_training,Fisher,QDA,success,,15.0,,,0.10165093999967212,0.0035397219980950467,0.006403305000276305,0.0011817050035460852,,0.11277567200158956,2026-05-04T00:00:00.476578
optuna_by_selector_optimization,Fisher,GaussianNB,success,,15.0,10.0,3.0,,,,,3.8660564520032494,3.8660564520032494,2026-05-04T00:00:04.343712
optuna_by_selector_training,Fisher,GaussianNB,success,,15.0,,,0.06372631800331874,0.002280699001858011,0.0027917339975829236,0.0007818279991624877,,0.06958057900192216,2026-05-04T00:00:04.559189
optuna_by_selector_optimization,Fisher,DecisionTree,success,,15.0,12.0,3.0,,,,,4.927072523998504,4.927072523998504,2026-05-04T00:00:09.487266
optuna_by_selector_training,Fisher,DecisionTree,success,,15.0,,,0.06385624399990775,0.0016061690039350651,0.001125748996855691,0.0017067469962057658,,0.06829490899690427,2026-05-04T00:00:09.726269
optuna_by_selector_optimization,Fisher,RandomForest,success,,15.0,12.0,3.0,,,,,40.17617213700578,40.17617213700578,2026-05-04T00:00:49.903520
optuna_by_selector_training,Fisher,RandomForest,success,,15.0,,,1.0851637769956142,0.0489408710054704,0.05019530300342012,0.039230652000696864,,1.2235306030052016,2026-05-04T00:00:51.303572
optuna_by_selector_optimization,Fisher,GradientBoosting,success,,15.0,12.0,3.0,,,,,80.20260295900516,80.20260295900516,2026-05-04T00:02:11.507367
optuna_by_selector_training,Fisher,GradientBoosting,success,,15.0,,,7.307011488999706,0.04987248899851693,0.04978110999945784,0.009410291000676807,,7.416075378998357,2026-05-04T00:02:19.093372
optuna_by_selector_optimization,mRMR,LDA,success,,15.0,10.0,3.0,,,,,5.494306874999893,5.494306874999893,2026-05-04T00:02:24.594256
optuna_by_selector_training,mRMR,LDA,success,,15.0,,,0.11798282699601259,0.0011242900000070222,0.0009092300024349242,0.0009074510016944259,,0.12092379800014896,2026-05-04T00:02:24.893749
optuna_by_selector_optimization,mRMR,QDA,success,,15.0,10.0,3.0,,,,,6.304649059995427,6.304649059995427,2026-05-04T00:02:31.199455
optuna_by_selector_training,mRMR,QDA,success,,15.0,,,0.11442030499893008,0.006412253002054058,0.006083966000005603,0.0010406989968032576,,0.127957222997793,2026-05-04T00:02:31.525947
optuna_by_selector_optimization,mRMR,GaussianNB,success,,15.0,10.0,3.0,,,,,3.993302474002121,3.993302474002121,2026-05-04T00:02:35.520285
optuna_by_selector_training,mRMR,GaussianNB,success,,15.0,,,0.0671320649998961,0.0025400290032848716,0.0032393369983765297,0.001245132996700704,,0.07415656399825821,2026-05-04T00:02:35.752716
optuna_by_selector_optimization,mRMR,DecisionTree,success,,15.0,12.0,3.0,,,,,5.061284019997402,5.061284019997402,2026-05-04T00:02:40.815342
optuna_by_selector_training,mRMR,DecisionTree,success,,15.0,,,0.08500848199764732,0.0014330869962577708,0.0009114220010815188,0.0013442869967548177,,0.08869727799174143,2026-05-04T00:02:41.070216
optuna_by_selector_optimization,mRMR,RandomForest,success,,15.0,12.0,3.0,,,,,49.37673289600207,49.37673289600207,2026-05-04T00:03:30.447986
optuna_by_selector_training,mRMR,RandomForest,success,,15.0,,,2.833166894997703,0.1336283499986166,0.1340129239979433,0.07417759599775309,,3.174985764992016,2026-05-04T00:03:33.788849
optuna_by_selector_optimization,mRMR,GradientBoosting,success,,15.0,12.0,3.0,,,,,137.68734995499835,137.68734995499835,2026-05-04T00:05:51.477423
optuna_by_selector_training,mRMR,GradientBoosting,success,,15.0,,,11.222111306000443,0.061002840993751306,0.057112373993732035,0.009035268005391117,,11.349261788993317,2026-05-04T00:06:03.001821
optuna_by_selector_optimization,LassoCV,LDA,success,,15.0,10.0,3.0,,,,,5.851623675000155,5.851623675000155,2026-05-04T00:06:08.859165
optuna_by_selector_training,LassoCV,LDA,success,,15.0,,,0.14616669200040633,0.0011805610047304071,0.0009477759958826937,0.0009606490057194605,,0.1492556780067389,2026-05-04T00:06:09.190960
optuna_by_selector_optimization,LassoCV,QDA,success,,15.0,10.0,3.0,,,,,6.4275350169991725,6.4275350169991725,2026-05-04T00:06:15.619601
optuna_by_selector_training,LassoCV,QDA,success,,15.0,,,0.11438838799949735,0.006208344995684456,0.00404323900147574,0.0011337129981257021,,0.12577368499478325,2026-05-04T00:06:15.947315
optuna_by_selector_optimization,LassoCV,GaussianNB,success,,15.0,10.0,3.0,,,,,3.8302576709975256,3.8302576709975256,2026-05-04T00:06:19.778785
optuna_by_selector_training,LassoCV,GaussianNB,success,,15.0,,,0.06288242699520197,0.002448510997055564,0.003422870002395939,0.0008850049998727627,,0.06963881299452623,2026-05-04T00:06:19.993651
optuna_by_selector_optimization,LassoCV,DecisionTree,success,,15.0,12.0,3.0,,,,,4.837297717000183,4.837297717000183,2026-05-04T00:06:24.832024
optuna_by_selector_training,LassoCV,DecisionTree,success,,15.0,,,0.062192778997996356,0.0015129769963095896,0.001018563998513855,0.001243755003088154,,0.06596807499590795,2026-05-04T00:06:25.066575
optuna_by_selector_optimization,LassoCV,RandomForest,success,,15.0,12.0,3.0,,,,,37.63908806700056,37.63908806700056,2026-05-04T00:07:02.706760
optuna_by_selector_training,LassoCV,RandomForest,success,,15.0,,,2.109597479997319,0.11154474100476364,0.1133239839982707,0.07557340199855389,,2.4100396069989074,2026-05-04T00:07:05.287799
optuna_by_selector_optimization,LassoCV,GradientBoosting,success,,15.0,12.0,3.0,,,,,50.840683178998006,50.840683178998006,2026-05-04T00:07:56.129824
optuna_by_selector_training,LassoCV,GradientBoosting,success,,15.0,,,1.4184833159961272,0.014357120999193285,0.014137195001239888,0.004859407999902032,,1.4518370399964624,2026-05-04T00:07:57.753531
optuna_by_selector_optimization,LinearSVC_L1,LDA,success,,15.0,10.0,3.0,,,,,5.82375400300225,5.82375400300225,2026-05-04T00:08:03.581735
optuna_by_selector_training,LinearSVC_L1,LDA,success,,15.0,,,0.1277540160008357,0.0011152049992233515,0.0009188309995806776,0.0008598149943281896,,0.1306478669939679,2026-05-04T00:08:03.899745
optuna_by_selector_optimization,LinearSVC_L1,QDA,success,,15.0,10.0,3.0,,,,,6.206872859998839,6.206872859998839,2026-05-04T00:08:10.107582
optuna_by_selector_training,LinearSVC_L1,QDA,success,,15.0,,,0.10458432599989465,0.007756826998956967,0.004746238999359775,0.0011423979958635755,,0.11822978999407496,2026-05-04T00:08:10.423489
optuna_by_selector_optimization,LinearSVC_L1,GaussianNB,success,,15.0,10.0,3.0,,,,,3.8043648210004903,3.8043648210004903,2026-05-04T00:08:14.228837
optuna_by_selector_training,LinearSVC_L1,GaussianNB,success,,15.0,,,0.06634315300470917,0.002363637999224011,0.0030382010008906946,0.000861270003952086,,0.07260626200877596,2026-05-04T00:08:14.455775
optuna_by_selector_optimization,LinearSVC_L1,DecisionTree,success,,15.0,12.0,3.0,,,,,5.037616030997015,5.037616030997015,2026-05-04T00:08:19.494436
optuna_by_selector_training,LinearSVC_L1,DecisionTree,success,,15.0,,,0.08590692400321132,0.001493463001679629,0.0009678330025053583,0.0013075300012133084,,0.08967575000860961,2026-05-04T00:08:19.752150
optuna_by_selector_optimization,LinearSVC_L1,RandomForest,success,,15.0,12.0,3.0,,,,,52.86253653099993,52.86253653099993,2026-05-04T00:09:12.615775
optuna_by_selector_training,LinearSVC_L1,RandomForest,success,,15.0,,,3.2620400599989807,0.14678664300299715,0.14713917499466334,0.08900023000023793,,3.644966107996879,2026-05-04T00:09:16.438877
optuna_by_selector_optimization,LinearSVC_L1,GradientBoosting,success,,15.0,12.0,3.0,,,,,138.72377577699808,138.72377577699808,2026-05-04T00:11:35.163932
optuna_by_selector_training,LinearSVC_L1,GradientBoosting,success,,15.0,,,11.274808924004901,0.05757547599932877,0.057257151005615015,0.00929741699656006,,11.398938968006405,2026-05-04T00:11:46.735413
optuna_by_selector_optimization,ExtraTrees,LDA,success,,15.0,10.0,3.0,,,,,5.615899976997753,5.615899976997753,2026-05-04T00:11:52.356791
optuna_by_selector_training,ExtraTrees,LDA,success,,15.0,,,0.12439900900062639,0.0012420100028975867,0.0009018709970405325,0.0008695049982634373,,0.12741239499882795,2026-05-04T00:11:52.659080
