seletor,modelo,n_features,accuracy,precision,f1,log_loss,fp_per_class,fn_per_class,model_path_optuna,model_path_refactored
Pearson,DecisionTree,15,0.9529722589167767,0.9544894468722341,0.9528768061045952,0.15905948099556197,"[163, 727]","[727, 163]",../models/models_refactored_strategy_median/optuna/optuna_by_selector_pearson_decisiontree.pkl,../models/models_refactored_strategy_median/base/optuna_by_selector_pearson_decisiontree.pkl
Pearson,GradientBoosting,15,0.9527080581241744,0.9544022674432456,0.9526043228615879,0.15283642864181116,"[150, 745]","[745, 150]",../models/models_refactored_strategy_median/optuna/optuna_by_selector_pearson_gradientboosting.pkl,../models/models_refactored_strategy_median/base/optuna_by_selector_pearson_gradientboosting.pkl
Pearson,RandomForest,15,0.9519154557463673,0.9536105004887774,0.9518097234529308,0.16827052552982597,"[157, 753]","[753, 157]",../models/models_refactored_strategy_median/optuna/optuna_by_selector_pearson_randomforest.pkl,../models/models_refactored_strategy_median/base/optuna_by_selector_pearson_randomforest.pkl
Pearson,LDA,15,0.6321268163804491,0.6445679447617652,0.6280348569006529,0.6395969769994948,"[4671, 2291]","[2291, 4671]",../models/models_refactored_strategy_median/optuna/optuna_by_selector_pearson_lda.pkl,../models/models_refactored_strategy_median/base/optuna_by_selector_pearson_lda.pkl
Pearson,QDA,15,0.6112549537648613,0.6199323880788997,0.6082897619759505,0.6862034376789361,"[4702, 2655]","[2655, 4702]",../models/models_refactored_strategy_median/optuna/optuna_by_selector_pearson_qda.pkl,../models/models_refactored_strategy_median/base/optuna_by_selector_pearson_qda.pkl
Pearson,GaussianNB,15,0.5308322324966975,0.6356754914963395,0.38967174741444344,3.3136369726363184,"[108, 8771]","[8771, 108]",../models/models_refactored_strategy_median/optuna/optuna_by_selector_pearson_gaussiannb.pkl,../models/models_refactored_strategy_median/base/optuna_by_selector_pearson_gaussiannb.pkl
mRMR,GradientBoosting,15,0.9641215323645971,0.9650286616606695,0.964071696289307,0.10106343899791638,"[124, 555]","[555, 124]",../models/models_refactored_strategy_median/optuna/optuna_by_selector_mrmr_gradientboosting.pkl,../models/models_refactored_strategy_median/base/optuna_by_selector_mrmr_gradientboosting.pkl
mRMR,RandomForest,15,0.9639101717305152,0.9649996967957791,0.9638534693288209,0.11252800225727413,"[106, 577]","[577, 106]",../models/models_refactored_strategy_median/optuna/optuna_by_selector_mrmr_randomforest.pkl,../models/models_refactored_strategy_median/base/optuna_by_selector_mrmr_randomforest.pkl
mRMR,DecisionTree,15,0.9623249669749009,0.9631404096376114,0.9622759379508597,0.13708113819611445,"[151, 562]","[562, 151]",../models/models_refactored_strategy_median/optuna/optuna_by_selector_mrmr_decisiontree.pkl,../models/models_refactored_strategy_median/base/optuna_by_selector_mrmr_decisiontree.pkl
mRMR,LDA,15,0.6337648612945839,0.6465003897764575,0.6296023966000933,0.641178877402992,"[4666, 2265]","[2265, 4666]",../models/models_refactored_strategy_median/optuna/optuna_by_selector_mrmr_lda.pkl,../models/models_refactored_strategy_median/base/optuna_by_selector_mrmr_lda.pkl
mRMR,QDA,15,0.6150066050198151,0.624063693636815,0.6119552566156041,0.7235983855693139,"[4682, 2604]","[2604, 4682]",../models/models_refactored_strategy_median/optuna/optuna_by_selector_mrmr_qda.pkl,../models/models_refactored_strategy_median/base/optuna_by_selector_mrmr_qda.pkl
mRMR,GaussianNB,15,0.5308322324966975,0.6362331341017818,0.3895894353371982,4.398531598230386,"[107, 8772]","[8772, 107]",../models/models_refactored_strategy_median/optuna/optuna_by_selector_mrmr_gaussiannb.pkl,../models/models_refactored_strategy_median/base/optuna_by_selector_mrmr_gaussiannb.pkl
