run_id,model_id,n_samples,mean_ms,std_ms,variance_ms,cv,ci95_lower,ci95_upper
t07,lowvariance_lda,50,94.77004,51.043007057458475,2605.3885694677556,0.5385985598134018,80.26377789922395,109.27630210077604
t07,lowvariance_decisiontree,50,98.3225,47.5591979117626,2261.8773060102044,0.48370614978018867,84.806325503578,111.83867449642202
t07,lowvariance_gradientboosting,50,429.7626,146.52236450634632,21468.803300530617,0.3409379143423516,388.12140474749725,471.4037952525028
t07,lowvariance_randomforest,50,4405.00976,1839.7775781701923,3384781.537137778,0.4176557325426204,3882.150757472482,4927.868762527518
t08,lowvariance_lda,50,117.54604,79.29161246194136,6287.159806814693,0.6745579218316614,95.01161307113024,140.08046692886975
t08,lowvariance_decisiontree,50,109.47412,62.65123206034486,3925.1768786791836,0.572292630078642,91.66883685551673,127.27940314448327
t08,lowvariance_gradientboosting,50,452.43451999999996,169.99849057460025,28899.48679764245,0.37574164450272335,404.1214835396781,500.74755646032185
t08,lowvariance_randomforest,50,4997.14322,1658.330738416124,2750060.837975767,0.33185575546024154,4525.850838770226,5468.435601229774
t09,lowvariance_lda,50,91.32742,51.206713806898726,2622.1275389016328,0.5606937522914666,76.77463295580961,105.8802070441904
t09,lowvariance_decisiontree,50,98.86634,54.26675986973602,2944.8812267595918,0.5488901467348344,83.44389748707916,114.28878251292083
t09,lowvariance_gradientboosting,50,393.94764,153.13877024953945,23451.48295354123,0.3887287413361315,350.42608304059786,437.4691969594021
t09,lowvariance_randomforest,50,4430.0782,2131.428972290684,4542989.463920122,0.48112671516513733,3824.3327883624925,5035.823611637507
t10,lowvariance_lda,6,89.93666666666665,49.23537513076007,2424.122164266667,0.5474449627229541,38.26730926079862,141.6060240725347
t10,lowvariance_decisiontree,6,106.72816666666665,61.80217340973265,3819.5086381666656,0.5790615105640591,41.87076326746127,171.58557006587205
t10,lowvariance_gradientboosting,6,1517.2735,819.7594015001597,672005.4763479,0.5402845311014525,656.9887679259307,2377.5582320740696
t10,lowvariance_randomforest,6,5392.734333333334,3607.439342276993,13013618.608207865,0.6689443831821729,1606.9589187849283,9178.509747881739
t10,lowvariance_svm,6,90213.76299999999,10303.892784573369,106170206.51598313,0.11421641711778911,79400.49068220162,101027.03531779836
t11,lowvariance_lda,4,130.57675,30.959596103900754,958.4965909166667,0.2370988411329027,81.31312388303259,179.84037611696743
t11,lowvariance_decisiontree,4,168.00125,28.81087810040969,830.0666969166666,0.1714920460437627,122.15671371868595,213.84578628131405
t11,lowvariance_gradientboosting,4,1873.63025,377.0794984919184,142188.9481829167,0.20125609014474355,1273.6126216130804,2473.6478783869197
t11,lowvariance_randomforest,4,5890.067,2319.1696394694086,5378547.816636667,0.3937424887474809,2199.750574772216,9580.383425227785
t11,lowvariance_svm,4,62773.225999999995,13123.850508013542,172235452.1566873,0.20906764466770503,41890.25121983829,83656.2007801617
t12,lowvariance_lda,41,127.94314634146342,98.02173150443757,9608.259847128049,0.766135070985596,97.00367024935902,158.8826224335678
t12,lowvariance_decisiontree,41,105.62756097560977,57.03035405117558,3252.4612832024386,0.539919255205981,87.6265600892837,123.62856186193584
t12,lowvariance_gradientboosting,41,658.893243902439,601.3560136008361,361629.055093889,0.9126759443444493,469.0818651389046,848.7046226659735
t12,lowvariance_randomforest,41,8198.388585365852,4614.827862890208,21296636.204107806,0.5628945023571692,6741.769179223194,9655.00799150851
t12,lowvariance_svm,41,237211.4727317073,70464.70158354868,4965274169.258568,0.2970543573296988,214970.0685397932,259452.8769236214
t13,lowvariance_lda,2,42.329,20.752169814262796,430.65255199999996,0.4902589197538991,-144.1218482986274,228.77984829862743
t13,lowvariance_decisiontree,2,162.01999999999998,21.727977172300218,472.10499199999936,0.13410675948833614,-33.19812956658788,357.2381295665879
t13,lowvariance_gradientboosting,2,435.4705,282.15752600364925,79612.8694805,0.6479371760053764,-2099.6142910402623,2970.555291040262
t13,lowvariance_randomforest,2,3965.0185,287.00686430902635,82372.94016049987,0.07238474784141016,1386.364132919397,6543.672867080603
t13,lowvariance_svm,2,230217.59999999998,30904.52330739964,955089560.8576075,0.1342404894647483,-47448.52544626879,507883.72544626874
t16,lowvariance_lda,50,94.58526000000002,54.11515516189828,2928.450018196326,0.5721309553084515,79.20590306832501,109.96461693167502
t16,lowvariance_decisiontree,50,117.12194000000001,136.64704876020514,18672.41593487388,1.1667075251674035,78.28727842957804,155.95660157042198
t16,lowvariance_gradientboosting,50,718.65352,384.50305477501206,147842.59913131592,0.5350325909139249,609.3789609044392,827.9280790955607
t16,lowvariance_randomforest,50,5438.229520000001,2367.58545767855,5605460.899410949,0.4353596053589422,4765.369177810338,6111.089862189663
t16,lowvariance_svm,50,140553.16001999998,22372.446080592705,500526343.62902784,0.15917426600304982,134194.98119414778,146911.33884585218
